batch_size: 16
netG: unet_256
Dataset loaded!
initialize network with normal
initialize network with normal
initialize network with normal
initialize network with normal
Start Profiling!
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    aten::tanh_backward         0.01%       1.510ms         0.01%       3.736ms      31.130us       3.261ms         0.02%       3.261ms      27.177us           0 b           0 b       1.42 Gb       1.42 Gb           120  
                                             aten::tanh         0.01%       2.066ms         0.01%       4.033ms      33.612us       1.325ms         0.01%       1.325ms      11.043us           0 b           0 b       1.41 Gb       1.41 Gb           120  
                                              aten::div         0.01%       1.993ms         0.01%       4.057ms      50.717us       1.176ms         0.01%       1.176ms      14.698us           0 b           0 b     964.35 Mb     964.35 Mb            80  
                                              aten::sgn         0.00%       1.049ms         0.01%       1.862ms      23.269us       1.991ms         0.01%       1.991ms      24.882us           0 b           0 b     962.02 Mb     962.02 Mb            80  
                                              aten::sub         0.01%       1.407ms         0.01%       2.310ms      28.874us       1.845ms         0.01%       1.845ms      23.060us           0 b           0 b     961.06 Mb     961.06 Mb            80  
                                              aten::mul         0.02%       5.957ms         0.09%      24.702ms      61.755us       3.077ms         0.02%       3.077ms       7.694us           0 b           0 b     960.28 Mb     960.28 Mb           400  
                                              aten::cat         0.00%       1.319ms         0.01%       1.882ms      47.050us     669.212us         0.00%     669.212us      16.730us           0 b           0 b     486.83 Mb     486.83 Mb            40  
                                           Buffer Flush         0.01%       2.976ms         0.01%       2.981ms     110.410us       3.123ms         0.02%       3.123ms     115.671us           0 b           0 b     273.03 Mb     273.03 Mb            27  
                                     aten::_convolution         0.14%      38.476ms         1.20%     325.206ms      93.450us       0.000us         0.00%        3.208s     921.779us           0 b           0 b     250.56 Gb     194.00 Mb          3480  
                                              aten::sum         0.24%      64.039ms         0.67%     181.010ms      55.186us     337.217ms         1.88%     337.217ms     102.810us           0 b           0 b       2.87 Mb       2.87 Mb          3280  
                                             aten::mean         0.01%       4.063ms         0.02%       6.395ms      31.973us       1.679ms         0.01%       1.679ms       8.393us           0 b           0 b      40.00 Kb      40.00 Kb           200  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...         0.08%      21.090ms         0.08%      21.329ms       1.066ms       0.000us         0.00%       0.000us       0.000us     432.00 Mb     432.00 Mb           0 b           0 b            20  
                                        cudaEventRecord         0.08%      22.295ms         0.08%      22.295ms       1.208us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         18460  
                                    cudaStreamWaitEvent         0.02%       5.721ms         0.02%       5.721ms       0.602us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          9500  
                                               aten::to         0.01%       2.151ms        15.66%        4.245s       1.279ms       0.000us         0.00%     221.443ms      66.700us           0 b           0 b     485.12 Mb           0 b          3320  
                                         aten::_to_copy         0.00%     473.904us        15.65%        4.243s     106.083ms       0.000us         0.00%     221.443ms       5.536ms           0 b           0 b     485.12 Mb           0 b            40  
                                         cudaEventQuery         0.22%      58.911ms         0.22%      58.911ms       1.015us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         58029  
                                            aten::copy_         0.14%      38.380ms        16.75%        4.540s     533.474us        1.473s         8.19%        1.473s     173.082us           0 b           0 b           0 b           0 b          8511  
                                        cudaMemcpyAsync        16.55%        4.488s        16.55%        4.488s     527.272us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          8511  
void cudnn::engines_precompiled::nchwToNhwcKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us        1.787s         9.94%        1.787s      94.507us           0 b           0 b           0 b           0 b         18904  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us      93.480ms         0.52%      93.480ms      19.085us           0 b           0 b           0 b           0 b          4898  
_ZN17cutlass__5x_cudnn6KernelINS_4conv6kernel23Impli...         0.00%       0.000us         0.00%       0.000us       0.000us     790.544ms         4.40%     790.544ms       3.240ms           0 b           0 b           0 b           0 b           244  
void cutlass__5x_cudnn::Kernel<cutlass__5x_cudnn::re...         0.00%       0.000us         0.00%       0.000us       0.000us     113.966ms         0.63%     113.966ms      35.839us           0 b           0 b           0 b           0 b          3180  
void cudnn::engines_precompiled::nhwcToNchwKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us     457.804ms         2.55%     457.804ms      69.364us           0 b           0 b           0 b           0 b          6600  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     340.880ms         1.90%     340.880ms     101.816us           0 b           0 b           0 b           0 b          3348  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     360.969ms         2.01%     360.969ms      53.107us           0 b           0 b           0 b           0 b          6797  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     271.458ms         1.51%     271.458ms      58.694us           0 b           0 b           0 b           0 b          4625  
void at::native::(anonymous namespace)::reflection_p...         0.00%       0.000us         0.00%       0.000us       0.000us     514.287ms         2.86%     514.287ms     218.011us           0 b           0 b           0 b           0 b          2359  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us        1.272s         7.07%        1.272s     147.135us           0 b           0 b           0 b           0 b          8645  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     412.003ms         2.29%     412.003ms     241.219us           0 b           0 b           0 b           0 b          1708  
void at::native::batch_norm_backward_kernel<float, f...         0.00%       0.000us         0.00%       0.000us       0.000us     896.657ms         4.99%     896.657ms     282.145us           0 b           0 b           0 b           0 b          3178  
sm80_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us        1.581s         8.79%        1.581s     524.242us           0 b           0 b           0 b           0 b          3016  
_ZN17cutlass__5x_cudnn6KernelINS_4conv6kernel23Impli...         0.00%       0.000us         0.00%       0.000us       0.000us     272.011ms         1.51%     272.011ms     414.651us           0 b           0 b           0 b           0 b           656  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us        1.429s         7.95%        1.429s     650.509us           0 b           0 b           0 b           0 b          2196  
_ZN17cutlass__5x_cudnn6KernelINS_4conv6kernel23Impli...         0.00%       0.000us         0.00%       0.000us       0.000us        1.454s         8.09%        1.454s     637.550us           0 b           0 b           0 b           0 b          2280  
void xmma__5x_cudnn::implicit_gemm::strided_dgrad_in...         0.00%       0.000us         0.00%       0.000us       0.000us       1.894ms         0.01%       1.894ms       3.913us           0 b           0 b           0 b           0 b           484  
void xmma__5x_cudnn::implicit_gemm::strided_dgrad_in...         0.00%       0.000us         0.00%       0.000us       0.000us       2.500ms         0.01%       2.500ms       5.166us           0 b           0 b           0 b           0 b           484  
void xmma__5x_cudnn::implicit_gemm::strided_dgrad_in...         0.00%       0.000us         0.00%       0.000us       0.000us       2.147ms         0.01%       2.147ms       4.436us           0 b           0 b           0 b           0 b           484  
void xmma__5x_cudnn::implicit_gemm::strided_dgrad_in...         0.00%       0.000us         0.00%       0.000us       0.000us      20.926ms         0.12%      20.926ms      43.236us           0 b           0 b           0 b           0 b           484  
sm80_xmma_dgrad_implicit_gemm_indexed_tf32f32_tf32f3...         0.00%       0.000us         0.00%       0.000us       0.000us     103.380ms         0.58%     103.380ms     427.189us           0 b           0 b           0 b           0 b           242  
sm80_xmma_dgrad_implicit_gemm_indexed_tf32f32_tf32f3...         0.00%       0.000us         0.00%       0.000us       0.000us     169.235ms         0.94%     169.235ms     699.318us           0 b           0 b           0 b           0 b           242  
void fft2d_r2c_32x32<float, false, 0u, false>(float2...         0.00%       0.000us         0.00%       0.000us       0.000us     106.244ms         0.59%     106.244ms      21.416us           0 b           0 b           0 b           0 b          4961  
void fft2d_r2c_32x32<float, false, 1u, false>(float2...         0.00%       0.000us         0.00%       0.000us       0.000us     647.512us         0.00%     647.512us      15.793us           0 b           0 b           0 b           0 b            41  
                                 ampere_gcgemm_32x32_nt         0.00%       0.000us         0.00%       0.000us       0.000us     146.639ms         0.82%     146.639ms      29.558us           0 b           0 b           0 b           0 b          4961  
void fft2d_c2r_32x32<float, false, false, 0u, false,...         0.00%       0.000us         0.00%       0.000us       0.000us      54.556ms         0.30%      54.556ms      10.997us           0 b           0 b           0 b           0 b          4961  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.282ms         0.02%       3.282ms      27.124us           0 b           0 b           0 b           0 b           121  
void cudnn::cnn::dgrad2d_grouped_direct_kernel<float...         0.00%       0.000us         0.00%       0.000us       0.000us        2.119s        11.78%        2.119s      17.509ms           0 b           0 b           0 b           0 b           121  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       5.148ms         0.03%       5.148ms      81.721us           0 b           0 b           0 b           0 b            63  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       3.901ms         0.02%       3.901ms      61.923us           0 b           0 b           0 b           0 b            63  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       5.695ms         0.03%       5.695ms      90.402us           0 b           0 b           0 b           0 b            63  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       4.177ms         0.02%       4.177ms      66.305us           0 b           0 b           0 b           0 b            63  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       3.996ms         0.02%       3.996ms      63.421us           0 b           0 b           0 b           0 b            63  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       3.673ms         0.02%       3.673ms      58.299us           0 b           0 b           0 b           0 b            63  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       7.602ms         0.04%       7.602ms     120.665us           0 b           0 b           0 b           0 b            63  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     703.131us         0.00%     703.131us      16.741us           0 b           0 b           0 b           0 b            42  
void cask__5x_cudnn::computeOffsetsKernel<false, fal...         0.00%       0.000us         0.00%       0.000us       0.000us     805.078us         0.00%     805.078us       3.299us           0 b           0 b           0 b           0 b           244  
       _5x_cudnn_ampere_scudnn_128x64_relu_medium_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us     154.215ms         0.86%     154.215ms     632.030us           0 b           0 b           0 b           0 b           244  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     436.048ms         2.43%     436.048ms     124.585us           0 b           0 b           0 b           0 b          3500  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      24.814ms         0.14%      24.814ms      50.027us           0 b           0 b           0 b           0 b           496  
void at::native::batch_norm_collect_statistics_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us     359.940ms         2.00%     359.940ms     114.923us           0 b           0 b           0 b           0 b          3132  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      10.217ms         0.06%      10.217ms       3.262us           0 b           0 b           0 b           0 b          3132  
void at::native::batch_norm_transform_input_kernel<f...         0.00%       0.000us         0.00%       0.000us       0.000us     439.888ms         2.45%     439.888ms     140.450us           0 b           0 b           0 b           0 b          3132  
void tensorTransformGeneric<float, float, float, tru...         0.00%       0.000us         0.00%       0.000us       0.000us       7.148ms         0.04%       7.148ms      19.423us           0 b           0 b           0 b           0 b           368  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us     455.572ms         2.53%     455.572ms       1.867ms           0 b           0 b           0 b           0 b           244  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     366.205us         0.00%     366.205us       2.953us           0 b           0 b           0 b           0 b           124  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.592ms         0.01%       1.592ms       7.803us           0 b           0 b           0 b           0 b           204  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     796.210us         0.00%     796.210us       2.457us           0 b           0 b           0 b           0 b           324  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     506.973us         0.00%     506.973us       4.088us           0 b           0 b           0 b           0 b           124  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us      17.353ms         0.10%      17.353ms     105.808us           0 b           0 b           0 b           0 b           164  
void wgrad_alg0_engine<float, 128, 5, 5, 3, 3, 3, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      72.494ms         0.40%      72.494ms     431.514us           0 b           0 b           0 b           0 b           168  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      41.442ms         0.23%      41.442ms      83.552us           0 b           0 b           0 b           0 b           496  
sm80_xmma_dgrad_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us      88.311ms         0.49%      88.311ms     712.189us           0 b           0 b           0 b           0 b           124  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us      25.491ms         0.14%      25.491ms     205.573us           0 b           0 b           0 b           0 b           124  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us      33.041ms         0.18%      33.041ms     266.459us           0 b           0 b           0 b           0 b           124  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us       21.314s       118.55%       21.314s     355.227ms           0 b           0 b           0 b           0 b            60  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     221.443ms         1.23%     221.443ms       5.536ms           0 b           0 b           0 b           0 b            40  
                                  cudaStreamSynchronize         0.05%      14.405ms         0.05%      14.405ms     360.137us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            40  
                                              aten::pad         0.02%       5.422ms         0.29%      79.669ms      33.196us       0.000us         0.00%     501.749ms     209.062us           0 b           0 b     176.48 Gb           0 b          2400  
                                 aten::reflection_pad2d         0.12%      31.293ms         0.27%      74.248ms      30.937us     501.749ms         2.79%     501.749ms     209.062us           0 b           0 b     176.48 Gb           0 b          2400  
                                       cudaLaunchKernel        11.33%        3.071s        11.33%        3.071s      32.991us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         93100  
void at::native::(anonymous namespace)::reflection_p...         0.00%       0.000us         0.00%       0.000us       0.000us     501.749ms         2.79%     501.749ms     209.062us           0 b           0 b           0 b           0 b          2400  
                                           aten::conv2d         0.04%      10.737ms         1.24%     336.323ms     103.804us       0.000us         0.00%        2.877s     888.101us           0 b           0 b     205.56 Gb           0 b          3240  
                                      aten::convolution         0.12%      31.954ms         1.32%     357.161ms     102.632us       0.000us         0.00%        3.208s     921.779us           0 b           0 b     250.56 Gb           0 b          3480  
                                  cudaStreamIsCapturing         0.02%       4.337ms         0.02%       4.337ms       0.428us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10123  
                                  cudaStreamGetPriority         0.01%       3.742ms         0.01%       3.742ms       0.371us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10080  
                       cudaDeviceGetStreamPriorityRange         0.02%       4.730ms         0.02%       4.730ms       0.469us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10080  
                                    cudaPeekAtLastError         0.01%       1.948ms         0.01%       1.948ms       0.100us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         19520  
                                        cudaMemsetAsync        22.66%        6.143s        22.66%        6.143s       1.219ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          5040  
                                          aten::reshape         0.10%      27.810ms         0.20%      52.946ms       2.626us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         20160  
                                             aten::view         0.19%      51.857ms         0.19%      51.857ms       1.589us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         32640  
                                             aten::add_         0.24%      63.769ms         0.52%     139.952ms      12.540us     624.020ms         3.47%     624.219ms      55.934us           0 b           0 b           0 b           0 b         11160  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 27.113s
Self CUDA time total: 17.979s

