batch_size: 16
netG: resnet_9blocks
Dataset loaded!
initialize network with normal
initialize network with normal
initialize network with normal
initialize network with normal
Start Profiling!
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    aten::tanh_backward         0.01%       1.526ms         0.01%       3.696ms      30.799us       3.299ms         0.02%       3.299ms      27.489us           0 b           0 b       1.41 Gb       1.41 Gb           120  
                                             aten::tanh         0.01%       2.086ms         0.01%       3.039ms      25.323us       1.443ms         0.01%       1.443ms      12.022us           0 b           0 b       1.41 Gb       1.41 Gb           120  
                                              aten::div         0.01%       1.897ms         0.01%       3.938ms      49.228us       1.141ms         0.01%       1.141ms      14.267us           0 b           0 b     963.47 Mb     963.47 Mb            80  
                                              aten::sgn         0.00%       1.052ms         0.01%       1.831ms      22.891us       2.006ms         0.01%       2.006ms      25.074us           0 b           0 b     962.79 Mb     962.79 Mb            80  
                                              aten::mul         0.02%       6.001ms         0.09%      24.538ms      61.344us       3.117ms         0.02%       3.117ms       7.792us           0 b           0 b     961.50 Mb     961.50 Mb           400  
                                              aten::sub         0.01%       1.442ms         0.01%       2.293ms      28.668us       1.842ms         0.01%       1.842ms      23.030us           0 b           0 b     961.08 Mb     961.08 Mb            80  
                                           Buffer Flush         0.01%       3.669ms         0.01%       3.685ms     136.477us       2.636ms         0.01%       2.636ms      97.644us           0 b           0 b     503.55 Mb     503.55 Mb            27  
                                              aten::cat         0.01%       1.374ms         0.01%       1.940ms      48.509us     672.763us         0.00%     672.763us      16.819us           0 b           0 b     483.14 Mb     483.14 Mb            40  
                                     aten::_convolution         0.15%      39.502ms         1.22%     331.043ms      95.127us       0.000us         0.00%        3.210s     922.292us           0 b           0 b     250.56 Gb     140.63 Mb          3480  
                                              aten::sum         0.23%      62.939ms         0.66%     179.546ms      54.740us     338.369ms         1.88%     338.369ms     103.161us           0 b           0 b       2.87 Mb       2.87 Mb          3280  
                                             aten::mean         0.01%       3.870ms         0.02%       6.262ms      31.310us       1.677ms         0.01%       1.677ms       8.384us           0 b           0 b      40.00 Kb      40.00 Kb           200  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...         0.08%      22.344ms         0.08%      22.611ms       1.131ms       0.000us         0.00%       0.000us       0.000us     480.00 Mb     480.00 Mb           0 b           0 b            20  
                                             aten::set_         0.00%     150.172us         0.00%     150.172us       3.754us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            40  
                                        cudaEventRecord         0.08%      22.364ms         0.08%      22.364ms       1.212us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         18460  
                                    cudaStreamWaitEvent         0.02%       5.541ms         0.02%       5.541ms       0.583us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          9500  
                                               aten::to         0.01%       2.119ms        15.72%        4.262s       1.284ms       0.000us         0.00%     225.448ms      67.906us           0 b           0 b     484.42 Mb           0 b          3320  
                                         aten::_to_copy         0.00%     470.566us        15.72%        4.260s     106.500ms       0.000us         0.00%     225.448ms       5.636ms           0 b           0 b     484.42 Mb           0 b            40  
                                         cudaEventQuery         0.22%      59.550ms         0.22%      59.550ms       1.024us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         58127  
                                            aten::copy_         0.15%      39.655ms        16.82%        4.558s     534.783us        1.475s         8.20%        1.475s     172.986us           0 b           0 b           0 b           0 b          8524  
                                        cudaMemcpyAsync        16.62%        4.504s        16.62%        4.504s     528.392us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          8524  
void cudnn::engines_precompiled::nchwToNhwcKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us        1.787s         9.94%        1.787s      94.513us           0 b           0 b           0 b           0 b         18904  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us      94.406ms         0.52%      94.406ms      19.274us           0 b           0 b           0 b           0 b          4898  
_ZN17cutlass__5x_cudnn6KernelINS_4conv6kernel23Impli...         0.00%       0.000us         0.00%       0.000us       0.000us     791.488ms         4.40%     791.488ms       3.244ms           0 b           0 b           0 b           0 b           244  
void cutlass__5x_cudnn::Kernel<cutlass__5x_cudnn::re...         0.00%       0.000us         0.00%       0.000us       0.000us     114.481ms         0.64%     114.481ms      36.000us           0 b           0 b           0 b           0 b          3180  
void cudnn::engines_precompiled::nhwcToNchwKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us     458.286ms         2.55%     458.286ms      69.437us           0 b           0 b           0 b           0 b          6600  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     342.074ms         1.90%     342.074ms     102.173us           0 b           0 b           0 b           0 b          3348  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     361.823ms         2.01%     361.823ms      53.233us           0 b           0 b           0 b           0 b          6797  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     271.739ms         1.51%     271.739ms      58.754us           0 b           0 b           0 b           0 b          4625  
void at::native::(anonymous namespace)::reflection_p...         0.00%       0.000us         0.00%       0.000us       0.000us     515.265ms         2.87%     515.265ms     218.425us           0 b           0 b           0 b           0 b          2359  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us        1.269s         7.06%        1.269s     146.550us           0 b           0 b           0 b           0 b          8662  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     412.306ms         2.29%     412.306ms     241.397us           0 b           0 b           0 b           0 b          1708  
void at::native::batch_norm_backward_kernel<float, f...         0.00%       0.000us         0.00%       0.000us       0.000us     894.003ms         4.97%     894.003ms     281.310us           0 b           0 b           0 b           0 b          3178  
sm80_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us        1.579s         8.78%        1.579s     523.674us           0 b           0 b           0 b           0 b          3016  
_ZN17cutlass__5x_cudnn6KernelINS_4conv6kernel23Impli...         0.00%       0.000us         0.00%       0.000us       0.000us     266.724ms         1.48%     266.724ms     406.592us           0 b           0 b           0 b           0 b           656  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us        1.432s         7.96%        1.432s     652.090us           0 b           0 b           0 b           0 b          2196  
_ZN17cutlass__5x_cudnn6KernelINS_4conv6kernel23Impli...         0.00%       0.000us         0.00%       0.000us       0.000us        1.455s         8.09%        1.455s     638.172us           0 b           0 b           0 b           0 b          2280  
void xmma__5x_cudnn::implicit_gemm::strided_dgrad_in...         0.00%       0.000us         0.00%       0.000us       0.000us       1.840ms         0.01%       1.840ms       3.801us           0 b           0 b           0 b           0 b           484  
void xmma__5x_cudnn::implicit_gemm::strided_dgrad_in...         0.00%       0.000us         0.00%       0.000us       0.000us       2.443ms         0.01%       2.443ms       5.046us           0 b           0 b           0 b           0 b           484  
void xmma__5x_cudnn::implicit_gemm::strided_dgrad_in...         0.00%       0.000us         0.00%       0.000us       0.000us       2.133ms         0.01%       2.133ms       4.408us           0 b           0 b           0 b           0 b           484  
void xmma__5x_cudnn::implicit_gemm::strided_dgrad_in...         0.00%       0.000us         0.00%       0.000us       0.000us      20.947ms         0.12%      20.947ms      43.278us           0 b           0 b           0 b           0 b           484  
sm80_xmma_dgrad_implicit_gemm_indexed_tf32f32_tf32f3...         0.00%       0.000us         0.00%       0.000us       0.000us     104.409ms         0.58%     104.409ms     431.443us           0 b           0 b           0 b           0 b           242  
sm80_xmma_dgrad_implicit_gemm_indexed_tf32f32_tf32f3...         0.00%       0.000us         0.00%       0.000us       0.000us     169.234ms         0.94%     169.234ms     699.315us           0 b           0 b           0 b           0 b           242  
void fft2d_r2c_32x32<float, false, 0u, false>(float2...         0.00%       0.000us         0.00%       0.000us       0.000us     105.419ms         0.59%     105.419ms      21.249us           0 b           0 b           0 b           0 b          4961  
void fft2d_r2c_32x32<float, false, 1u, false>(float2...         0.00%       0.000us         0.00%       0.000us       0.000us     648.534us         0.00%     648.534us      15.818us           0 b           0 b           0 b           0 b            41  
                                 ampere_gcgemm_32x32_nt         0.00%       0.000us         0.00%       0.000us       0.000us     146.000ms         0.81%     146.000ms      29.429us           0 b           0 b           0 b           0 b          4961  
void fft2d_c2r_32x32<float, false, false, 0u, false,...         0.00%       0.000us         0.00%       0.000us       0.000us      55.372ms         0.31%      55.372ms      11.161us           0 b           0 b           0 b           0 b          4961  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.320ms         0.02%       3.320ms      27.434us           0 b           0 b           0 b           0 b           121  
void cudnn::cnn::dgrad2d_grouped_direct_kernel<float...         0.00%       0.000us         0.00%       0.000us       0.000us        2.118s        11.78%        2.118s      17.508ms           0 b           0 b           0 b           0 b           121  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       5.156ms         0.03%       5.156ms      81.846us           0 b           0 b           0 b           0 b            63  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       3.913ms         0.02%       3.913ms      62.107us           0 b           0 b           0 b           0 b            63  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       5.691ms         0.03%       5.691ms      90.336us           0 b           0 b           0 b           0 b            63  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       4.174ms         0.02%       4.174ms      66.256us           0 b           0 b           0 b           0 b            63  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       4.001ms         0.02%       4.001ms      63.514us           0 b           0 b           0 b           0 b            63  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       3.689ms         0.02%       3.689ms      58.553us           0 b           0 b           0 b           0 b            63  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       7.600ms         0.04%       7.600ms     120.628us           0 b           0 b           0 b           0 b            63  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     706.171us         0.00%     706.171us      16.814us           0 b           0 b           0 b           0 b            42  
void cask__5x_cudnn::computeOffsetsKernel<false, fal...         0.00%       0.000us         0.00%       0.000us       0.000us     793.332us         0.00%     793.332us       3.251us           0 b           0 b           0 b           0 b           244  
       _5x_cudnn_ampere_scudnn_128x64_relu_medium_nn_v1         0.00%       0.000us         0.00%       0.000us       0.000us     154.555ms         0.86%     154.555ms     633.423us           0 b           0 b           0 b           0 b           244  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     438.877ms         2.44%     438.877ms     125.394us           0 b           0 b           0 b           0 b          3500  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      24.800ms         0.14%      24.800ms      50.001us           0 b           0 b           0 b           0 b           496  
void at::native::batch_norm_collect_statistics_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us     359.708ms         2.00%     359.708ms     114.849us           0 b           0 b           0 b           0 b          3132  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      10.262ms         0.06%      10.262ms       3.277us           0 b           0 b           0 b           0 b          3132  
void at::native::batch_norm_transform_input_kernel<f...         0.00%       0.000us         0.00%       0.000us       0.000us     439.659ms         2.44%     439.659ms     140.376us           0 b           0 b           0 b           0 b          3132  
void tensorTransformGeneric<float, float, float, tru...         0.00%       0.000us         0.00%       0.000us       0.000us       6.974ms         0.04%       6.974ms      18.952us           0 b           0 b           0 b           0 b           368  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us     455.741ms         2.53%     455.741ms       1.868ms           0 b           0 b           0 b           0 b           244  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     366.206us         0.00%     366.206us       2.953us           0 b           0 b           0 b           0 b           124  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.590ms         0.01%       1.590ms       7.796us           0 b           0 b           0 b           0 b           204  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     804.697us         0.00%     804.697us       2.484us           0 b           0 b           0 b           0 b           324  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     506.365us         0.00%     506.365us       4.084us           0 b           0 b           0 b           0 b           124  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us      17.087ms         0.10%      17.087ms     104.187us           0 b           0 b           0 b           0 b           164  
void wgrad_alg0_engine<float, 128, 5, 5, 3, 3, 3, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      72.477ms         0.40%      72.477ms     431.409us           0 b           0 b           0 b           0 b           168  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      40.908ms         0.23%      40.908ms      82.477us           0 b           0 b           0 b           0 b           496  
sm80_xmma_dgrad_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us      88.375ms         0.49%      88.375ms     712.698us           0 b           0 b           0 b           0 b           124  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us      25.591ms         0.14%      25.591ms     206.376us           0 b           0 b           0 b           0 b           124  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us      33.145ms         0.18%      33.145ms     267.300us           0 b           0 b           0 b           0 b           124  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us       21.324s       118.58%       21.324s     355.399ms           0 b           0 b           0 b           0 b            60  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     225.448ms         1.25%     225.448ms       5.636ms           0 b           0 b           0 b           0 b            40  
                                  cudaStreamSynchronize         0.05%      14.816ms         0.05%      14.816ms     370.404us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            40  
                                              aten::pad         0.02%       5.553ms         0.29%      79.895ms      33.290us       0.000us         0.00%     500.368ms     208.487us           0 b           0 b     176.48 Gb           0 b          2400  
                                 aten::reflection_pad2d         0.10%      28.404ms         0.27%      74.343ms      30.976us     500.368ms         2.78%     500.368ms     208.487us           0 b           0 b     176.48 Gb           0 b          2400  
                                       cudaLaunchKernel        11.31%        3.067s        11.31%        3.067s      32.943us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         93100  
void at::native::(anonymous namespace)::reflection_p...         0.00%       0.000us         0.00%       0.000us       0.000us     500.368ms         2.78%     500.368ms     208.487us           0 b           0 b           0 b           0 b          2400  
                                           aten::conv2d         0.04%      10.481ms         1.27%     343.578ms     106.043us       0.000us         0.00%        2.881s     889.069us           0 b           0 b     205.56 Gb           0 b          3240  
                                      aten::convolution         0.12%      31.578ms         1.34%     362.621ms     104.201us       0.000us         0.00%        3.210s     922.292us           0 b           0 b     250.56 Gb           0 b          3480  
                                  cudaStreamIsCapturing         0.02%       4.375ms         0.02%       4.375ms       0.432us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10123  
                                  cudaStreamGetPriority         0.01%       3.773ms         0.01%       3.773ms       0.374us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10080  
                       cudaDeviceGetStreamPriorityRange         0.01%       3.622ms         0.01%       3.622ms       0.359us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         10080  
                                    cudaPeekAtLastError         0.01%       1.906ms         0.01%       1.906ms       0.098us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         19520  
                                        cudaMemsetAsync        22.64%        6.138s        22.64%        6.138s       1.218ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          5040  
                                          aten::reshape         0.10%      27.785ms         0.20%      53.188ms       2.638us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         20160  
                                             aten::view         0.20%      53.230ms         0.20%      53.230ms       1.631us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         32640  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 27.107s
Self CUDA time total: 17.983s

